# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_38	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_17	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20	taxonomy
11100000	0.0	0.0	0.0	0.0	0.0	0.0	9.68823529412	0.953125	0.0	0.0	32.5333333333	11.7307692308	0.0	0.0	97.6	0.0	0.0	0.0	0.0	233.542857143	0.0	4.69230769231	0.0	0.0	0.0	0.0	0.0	3.8125	0.0	0.0	0.0	0.0	0.0	28.4666666667	L1_Milk_and_Milk_Products; L2_Milks_and_milk_drinks; L3_Milk_fluid; L4_; L5_; Milk_NFS
11111000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.13333333333	28.1538461538	278.857142857	0.0	96.5833333333	0.0	266.964705882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.333333333	0.0	0.0	191.3875	0.0	0.0	0.0	0.0	0.0	L1_Milk_and_Milk_Products; L2_Milks_and_milk_drinks; L3_Milk_fluid; L4_; L5_; Milk_whole
11112110	0.0	0.0	0.0	7.17647058824	0.0	0.0	7.17647058824	0.0	0.0	0.0	0.0	9.38461538462	0.0	0.0	0.0	0.0	21.5294117647	269.476470588	0.0	0.0	0.0	0.0	0.0	0.0	47.9285714286	0.0	30.5	93.40625	0.0	64.2625	0.0	5.08333333333	0.0	2.03333333333	L1_Milk_and_Milk_Products; L2_Milks_and_milk_drinks; L3_Milk_fluid; L4_; L5_; Milk_reduced_fat_2
11112210	0.0	0.0	0.0	0.0	0.0	83.2470588235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.285714286	0.0	0.0	0.0	0.0	81.0428571429	0.0	71.1666666667	3.8125	0.0	0.0	0.0	0.0	0.0	0.0	L1_Milk_and_Milk_Products; L2_Milks_and_milk_drinks; L3_Milk_fluid; L4_; L5_; Milk_low_fat_1
11113000	0.0	0.0	0.0	0.0	0.0	0.0	3.60294117647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	435.6	211.679166667	0.0	18.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.186166667	L1_Milk_and_Milk_Products; L2_Milks_and_milk_drinks; L3_Milk_fluid; L4_; L5_; Milk_fat_free_skim
11114320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.6975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_Milk_and_Milk_Products; L2_Milks_and_milk_drinks; L3_Milk_fluid; L4_; L5_; Milk_lactose_free_fat_free_skim
11114330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.7352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_Milk_and_Milk_Products; L2_Milks_and_milk_drinks; L3_Milk_fluid; L4_; L5_; Milk_lactose_free_reduced_fat_2
11115100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_Milk_and_Milk_Products; L2_Milks_and_milk_drinks; L3_Milk_fluid; L4_; L5_; Buttermilk_low_fat_1
11115300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_Milk_and_Milk_Products; L2_Milks_and_milk_drinks; L3_Milk_fluid; L4_; L5_; Buttermilk_whole
11320000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.7916666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.72	0.0	0.0	0.0	0.0	0.0	0.0	3.828125	0.0	L1_Milk_and_Milk_Products; L2_Milks_and_milk_drinks; L3_Milk_fluid_imitation; L4_; L5_; Soy_milk
