# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20	taxonomy
Milk NFS	0.0	0.0	0.0	0.0	0.0	0.0	9.68823529412	0.953125	0.0	32.5333333333	11.7307692308	0.0	0.0	97.6	0.0	0.0	0.0	233.542857143	0.0	4.69230769231	0.0	0.0	0.0	0.0	0.0	3.8125	0.0	0.0	0.0	0.0	0.0	28.4666666667
Milk whole	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.13333333333	28.1538461538	278.857142857	0.0	96.5833333333	0.0	266.964705882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.333333333	0.0	0.0	191.3875	0.0	0.0	0.0	0.0	0.0
Milk reduced fat 2	0.0	0.0	0.0	7.17647058824	0.0	0.0	7.17647058824	0.0	0.0	0.0	9.38461538462	0.0	0.0	0.0	0.0	21.5294117647	269.476470588	0.0	0.0	0.0	0.0	0.0	47.9285714286	0.0	30.5	93.40625	0.0	64.2625	0.0	5.08333333333	0.0	2.03333333333
Milk low fat 1	0.0	0.0	0.0	0.0	0.0	83.2470588235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.285714286	0.0	0.0	0.0	0.0	81.0428571429	0.0	71.1666666667	3.8125	0.0	0.0	0.0	0.0	0.0	0.0
Milk fat free skim	0.0	0.0	0.0	0.0	0.0	0.0	3.60294117647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	435.6	211.679166667	0.0	18.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.186166667
Milk lactose free fat free skim	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.6975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Milk lactose free reduced fat 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.7352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Buttermilk low fat 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Buttermilk whole	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Soy milk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.7916666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.72	0.0	0.0	0.0	0.0	0.0	0.0	3.828125	0.0
Almond milk sweetened	70.5776470588	0.0	87.84	0.0	113.780588235	0.0	196.2	0.0	0.0	16.32	14.1230769231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Almond milk sweetened chocolate	0.0	23.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Yogurt plain whole milk	0.0	0.0	0.0	0.0	0.0	0.0	3.60294117647	0.0	0.0	0.0	4.71153846154	0.0	0.0	0.0	0.0	165.735294118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Yogurt plain low fat milk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.75	0.0	0.0	10.640625	0.0	0.0	0.0	0.0	0.0	0.0
Yogurt plain nonfat milk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.10714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.4166666667	0.0	69.4166666667
Yogurt vanilla whole milk	17.8048117647	0.0	0.0	26.7058823529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Yogurt vanilla low fat milk	0.0	14.4117647059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.640625	0.0	0.0	0.0	0.0	10.640625	0.0
Yogurt vanilla nonfat milk	0.0	50.4411764706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.45880625	0.0	0.0	0.0	0.0	0.0	0.0
